City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Garowe,SO,78.96,clear sky,8.4054,48.4845,Red Sea
8,Cap Malheureux,MU,81.46,light rain,-19.9842,57.6142,Cape Garden
13,Kathmandu,NP,71.82,scattered clouds,27.7167,85.3167,Aryatara Kathmandu Hotel
15,Bengkulu,ID,83.7,overcast clouds,-3.8004,102.2655,Dena Hotel
17,Maragogi,BR,75.96,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
20,Bredasdorp,ZA,74.77,few clouds,-34.5322,20.0403,Victoria Hotel
21,Sechura,PE,74.59,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
26,Vila Velha,BR,72.95,few clouds,-20.3297,-40.2925,Hotel Prainha
28,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Grand Bel Air
34,Itarema,BR,75.76,few clouds,-2.9248,-39.9167,Pousada Oásis
37,Port Elizabeth,ZA,77.09,scattered clouds,-33.918,25.5701,Waterford Hotel
41,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Aloe guest house
44,Bali,ID,85.23,overcast clouds,-8.5,115.0,Balian Riverside Sanctuary
47,Kourou,GF,73.45,overcast clouds,5.1552,-52.6478,SCI Horizon
48,West Bay,KY,77.0,clear sky,19.3667,-81.4167,Bonnie's Arch
50,Cape Town,ZA,82.11,clear sky,-33.9258,18.4232,Townhouse Hotel
54,Salinopolis,BR,76.66,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
66,Rio Grande,BR,72.36,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
68,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Page 63 hostel
69,Ambilobe,MG,89.01,light rain,-13.2,49.05,Hôtel National
70,Victoria,HK,71.65,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
71,Padang,ID,86.05,light rain,-0.9492,100.3543,losmen Surya
77,Oistins,BB,71.69,light rain,13.0667,-59.5333,The Abidah By Accra
80,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
83,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,Le Baril
91,Salalah,OM,74.01,scattered clouds,17.0151,54.0924,Muscat International Hotel
94,Oudtshoorn,ZA,74.53,clear sky,-33.5907,22.2014,The Pearl
98,Lundazi,ZM,78.04,few clouds,-12.2929,33.1782,Lundazi Castle Hotel
100,Riohacha,CO,70.66,clear sky,11.5444,-72.9072,IMPERIAL
102,Hithadhoo,MV,80.94,broken clouds,-0.6,73.0833,Pebbles Inn
103,Mutare,ZW,75.92,broken clouds,-18.9707,32.6709,Amber Sun hotel
105,La Asuncion,VE,73.11,clear sky,11.0333,-63.8628,Hotel La Ciudad
