City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Garowe,SO,8.4054,48.4845,78.96,35,0,15.88,clear sky
1,Krasnoshchekovo,RU,51.6708,82.7289,19.83,80,89,1.9,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,68.88,97,100,3.44,fog
3,Fuengirola,ES,36.54,-4.6247,46.85,93,20,11.5,few clouds
4,Husavik,IS,66.0449,-17.3389,27.52,92,100,28.88,light snow
5,Port Alfred,ZA,-33.5906,26.891,75.87,74,41,21.65,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,65,75,3.44,broken clouds
7,Ponta Do Sol,PT,32.6667,-17.1,59.72,61,31,5.64,scattered clouds
8,Cap Malheureux,MU,-19.9842,57.6142,81.46,82,98,1.99,light rain
9,Tasiilaq,GL,65.6145,-37.6368,11.93,92,100,1.01,light snow
10,Kavaratti,IN,10.5669,72.642,80.13,74,63,17.92,broken clouds
11,Sinnar,SD,13.5691,33.5672,90.43,16,1,11.54,clear sky
12,Yar-Sale,RU,66.8333,70.8333,-7.69,97,29,7.78,scattered clouds
13,Kathmandu,NP,27.7167,85.3167,71.82,35,40,12.66,scattered clouds
14,Hatta,IN,24.1167,79.6,77.52,36,68,8.32,broken clouds
15,Bengkulu,ID,-3.8004,102.2655,83.7,72,100,9.26,overcast clouds
16,Castro,BR,-24.7911,-50.0119,63.28,98,100,4.72,overcast clouds
17,Maragogi,BR,-9.0122,-35.2225,75.96,84,96,4.45,overcast clouds
18,Melioratorov,RU,57.2107,65.6077,19.78,86,75,8.95,light shower snow
19,Busselton,AU,-33.65,115.3333,81.99,40,59,20.6,broken clouds
20,Bredasdorp,ZA,-34.5322,20.0403,74.77,54,22,13.38,few clouds
21,Sechura,PE,-5.5569,-80.8222,74.59,75,100,3.65,overcast clouds
22,Codrington,AU,-38.2667,141.9667,65.14,57,0,11.32,clear sky
23,Muborak,UZ,39.2553,65.1528,43.84,93,99,3.83,overcast clouds
24,Sao Filipe,CV,14.8961,-24.4956,69.73,73,62,7.72,broken clouds
25,Qaanaaq,GL,77.484,-69.3632,-4.09,43,20,8.77,few clouds
26,Vila Velha,BR,-20.3297,-40.2925,72.95,90,20,2.3,few clouds
27,Witzenhausen,DE,51.3333,9.8667,40.33,81,75,11.95,broken clouds
28,Mahebourg,MU,-20.4081,57.7,84.49,79,40,8.05,scattered clouds
29,Synya,RU,65.3718,58.0387,16.68,86,100,13.33,overcast clouds
30,Bolshaya Dzhalga,RU,45.9695,42.6966,41.7,73,46,8.32,scattered clouds
31,Honningsvag,NO,70.9821,25.9704,35.35,80,75,14.97,broken clouds
32,Lebu,CL,-37.6167,-73.65,55.26,82,11,16.96,few clouds
33,Lagoa,PT,39.05,-27.9833,57.47,66,100,13.47,overcast clouds
34,Itarema,BR,-2.9248,-39.9167,75.76,88,17,9.15,few clouds
35,Teya,RU,60.3778,92.6267,10.42,92,100,4.92,overcast clouds
36,Akhmeta,GE,42.0311,45.2075,39.72,61,81,3.76,broken clouds
37,Port Elizabeth,ZA,-33.918,25.5701,77.09,80,40,14.97,scattered clouds
38,Biddeford,US,43.4926,-70.4534,34.86,87,100,1.01,snow
39,Kaiserslautern,DE,49.45,7.75,34.59,78,100,9.22,mist
40,Chuy,UY,-33.6971,-53.4616,67.59,95,0,3.98,clear sky
41,Hermanus,ZA,-34.4187,19.2345,75.79,60,0,11.25,clear sky
42,Pangnirtung,CA,66.1451,-65.7125,-28.26,98,100,2.3,overcast clouds
43,Rodrigues Alves,BR,-7.738,-72.6509,69.93,99,100,1.39,overcast clouds
44,Bali,ID,-8.5,115.0,85.23,78,100,8.14,overcast clouds
45,Waddan,LY,29.1614,16.139,48.07,66,0,8.16,clear sky
46,Surt,LY,31.2089,16.5887,55.45,72,2,16.26,light rain
47,Kourou,GF,5.1552,-52.6478,73.45,91,86,1.83,overcast clouds
48,West Bay,KY,19.3667,-81.4167,77.0,85,6,14.9,clear sky
49,Aksarka,RU,66.5606,67.7975,-7.37,100,76,6.04,broken clouds
50,Cape Town,ZA,-33.9258,18.4232,82.11,51,0,5.75,clear sky
51,Elizabeth City,US,36.2946,-76.2511,52.05,98,54,1.99,broken clouds
52,Filingue,NE,14.3521,3.3168,70.27,5,100,10.8,overcast clouds
53,Ilulissat,GL,69.2167,-51.1,6.03,96,100,9.89,overcast clouds
54,Salinopolis,BR,-0.6136,-47.3561,76.66,87,98,4.5,overcast clouds
55,Road Town,VG,18.4167,-64.6167,76.96,74,7,23.35,clear sky
56,East London,ZA,-33.0153,27.9116,68.94,100,75,9.22,light rain
57,Kandri,IN,21.4167,79.2667,83.77,22,0,4.81,clear sky
58,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,9.22,light snow
59,Ribeira Grande,PT,38.5167,-28.7,55.78,82,40,8.05,scattered clouds
60,Jamestown,US,42.097,-79.2353,21.02,97,100,10.36,mist
61,Sekoma,BW,-24.4,23.8833,73.11,64,95,13.96,light rain
62,Luderitz,NA,-26.6481,15.1594,67.01,69,15,6.26,few clouds
63,Susangerd,IR,31.5608,48.1831,64.02,64,100,24.11,overcast clouds
64,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,80,100,9.57,overcast clouds
65,Ferrol,ES,43.4832,-8.2369,37.67,86,7,5.06,clear sky
66,Rio Grande,BR,-32.035,-52.0986,72.36,88,6,5.21,clear sky
67,Ust-Ishim,RU,57.6935,71.1665,15.58,88,97,6.71,overcast clouds
68,Georgetown,MY,5.4112,100.3354,87.75,59,40,4.61,scattered clouds
69,Ambilobe,MG,-13.2,49.05,89.01,64,39,3.13,light rain
70,Victoria,HK,22.2855,114.1577,71.65,67,100,10.13,overcast clouds
71,Padang,ID,-0.9492,100.3543,86.05,79,88,5.12,light rain
72,Fasa,IR,28.9383,53.6482,52.84,58,0,0.0,clear sky
73,Eha Amufu,NG,6.6592,7.7596,81.01,60,67,9.15,broken clouds
74,Mahdasht,IR,35.7299,50.8111,40.86,100,100,9.22,moderate rain
75,Dingle,PH,10.9995,122.6711,80.74,81,86,13.62,overcast clouds
